validation_mode,subject_id,model_name,feature_set_name,tau_ms,pearson,spearman,is_subject_best_tau,is_global_train_selected_tau,timing_confidence,notes
LOSO_cross_subject,sub-6m9kB5,class_prior_baseline,none,5000.0,0.13808463124313275,0.5016049740059255,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-8RgPiG,class_prior_baseline,none,5000.0,0.1329662188772558,0.21404030501000446,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-AB2PeX,class_prior_baseline,none,5000.0,0.19429110019743664,0.14811678177593904,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-AbzsOg,class_prior_baseline,none,5000.0,0.2191717407353005,-0.06694747265761793,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-BYJoWR,class_prior_baseline,none,5000.0,0.17809155328209678,0.20126032332479268,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-FIyfdR,class_prior_baseline,none,5000.0,0.2377813885468992,0.18283801590018992,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-FYbcap,class_prior_baseline,none,5000.0,0.1768095043577281,0.21359491770585887,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-PuPVlx,class_prior_baseline,none,5000.0,0.24174623267908288,0.1706788282798636,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-QZTsn6,class_prior_baseline,none,5000.0,0.2115876240297037,0.22306804291749263,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-VopvKx,class_prior_baseline,none,5000.0,0.25443847651179524,0.26185723192409044,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-dCsWjQ,class_prior_baseline,none,5000.0,0.213780556261428,0.059100518464662626,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-gNX5yb,class_prior_baseline,none,5000.0,0.19679376259722445,0.1621418293797825,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-hnetKS,class_prior_baseline,none,5000.0,0.2701956097960349,0.306036364900108,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-i4oK0F,class_prior_baseline,none,5000.0,0.23758161763157779,0.2021552872555816,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-iDpl28,class_prior_baseline,none,5000.0,0.11180782729954636,0.11694087726187448,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-jyC0j3,class_prior_baseline,none,5000.0,0.16756475178624522,0.12082898553613364,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-oLNpHd,class_prior_baseline,none,5000.0,0.19989680570693688,0.0760480766423366,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-0cGdk9,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,0.009062037065105671,-0.015718215860090017,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-2IU8mi,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,0.022057157502222324,0.03628023408197326,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-2IhVOz,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,0.02850829634811466,0.04953597206745021,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-6m9kB5,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,0.18135843741702748,0.23859671320025574,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-8RgPiG,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,0.018196992703299733,0.037257415223014456,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-AB2PeX,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,0.012491883135334303,0.017931721163603836,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-AbzsOg,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,0.01705638543890855,0.03293597908430991,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-BYJoWR,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,0.0054916735621475905,0.008905631117361833,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-FIyfdR,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,-0.022201842309138166,-0.03999978557430367,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-FYbcap,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,-0.007013751250810352,-0.007158644024933148,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-PuPVlx,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,-0.012825387573338837,-0.03806469525196494,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-QZTsn6,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,-0.026302164387709315,-0.08052167635045328,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-VopvKx,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,0.035365537143436813,0.0520808620892597,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-dCsWjQ,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,0.005622068996687517,-0.014745844554871872,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-gNX5yb,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,0.03425637480786835,0.04120293400689509,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-hnetKS,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,0.0025896304014866043,-0.04455086955271497,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-i4oK0F,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,-0.014785792405025667,-0.04607580356168088,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-iDpl28,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,-0.03909833767951826,-0.10743940837664953,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-jyC0j3,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,-0.007786156705429137,-0.012093537348975034,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-oLNpHd,shuffled_label_baseline,phase6a0_selected96_surrogate,200.0,-0.00938534840749339,-0.018773516327903028,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-0cGdk9,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.03903627569193014,-0.03292062103772531,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-2IU8mi,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.042649001797895915,0.05176003138092591,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-2IhVOz,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.0499873345946982,0.06510277216187568,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-6m9kB5,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.199821589732826,0.280165187807075,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-8RgPiG,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.021924912063271913,0.0450577846651686,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-AB2PeX,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.03337112934334975,0.029382749994570943,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-AbzsOg,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.04028830701888843,0.053681025560312005,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-BYJoWR,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.027217100025963795,0.015961813654905496,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-FIyfdR,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.01246900860669643,-0.0387410424584698,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-FYbcap,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.020302401866663333,-0.0034758375259876335,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-PuPVlx,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.022837478817904665,-0.043579757310102996,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-QZTsn6,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.014757467717054632,-0.10070946185554232,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-VopvKx,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.05209213161924411,0.06127262245768371,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-dCsWjQ,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.02771047307763604,-0.03819195706681116,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-gNX5yb,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.05865283447080347,0.0603987937709028,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-hnetKS,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.041448395092942146,-0.05255781546748251,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-i4oK0F,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.018014715815149386,-0.05808392664852803,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-iDpl28,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,-0.006689570912557689,-0.14082390473826994,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-jyC0j3,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.026953833845898348,-0.010839427354366937,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-oLNpHd,shuffled_label_baseline,phase6a0_selected96_surrogate,500.0,0.01608713352748228,-0.030075118641082057,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-0cGdk9,shuffled_label_baseline,phase6a0_selected96_surrogate,800.0,0.06377984252518794,-0.034750705309657806,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-2IU8mi,shuffled_label_baseline,phase6a0_selected96_surrogate,800.0,0.06197409399802539,0.06695137004953432,False,False,non_definitive_event_matrix,
