row_type,validation_mode,model_name,feature_set_name,tau_ms,subject_id,n_rows,positive_fraction,pearson_burden,spearman_burden,rmse_burden,mae_burden,auroc_label,auprc_label,brier_score,calibration_slope,calibration_intercept,high_burden_balanced_accuracy,timing_confidence,continuity_class,median_pearson,median_spearman,iqr_pearson,iqr_spearman,n_valid_subjects,n_high_subjects_r_ge_0_5,n_moderate_subjects_r_0_3_to_0_5,n_low_subjects_r_le_0_2,beats_beta_by,beats_shuffled_by,beats_class_prior_by,deployable,offline_ceiling,notes
subject,LOSO_cross_subject,class_prior_baseline,none,800.0,sub-8RgPiG,43690,0.44419774413108826,0.021192785057599303,0.018896752328459717,0.3330130746242867,0.28819596455707336,0.5,0.44419775692378116,0.24688628613195093,0.5262536759359895,0.23446716150215657,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,800.0,sub-AB2PeX,42042,0.45590123534202576,0.042361552872612986,0.004055200257522071,0.2951680713014846,0.2505444513313391,0.5,0.4559012416155273,0.24822123930380965,0.6783448113724891,0.17208182989860576,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,800.0,sub-AbzsOg,50023,0.5014293193817139,0.052608767462505375,0.014541100983250786,0.2983495445921781,0.2512832093685363,0.5,0.5014293425024489,0.25385792692377646,0.8785613110982365,0.13379200087206317,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,800.0,sub-BYJoWR,33587,0.4076577126979828,0.04715205584549505,0.07045216915211086,0.2938044617248773,0.24921528017286856,0.5,0.40765772471491946,0.24291658752528664,0.8886349882752175,0.03670221240934656,0.50480910074049,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,800.0,sub-FIyfdR,25355,0.4698481559753418,0.04414189517820547,0.018809211802773663,0.28184235591354684,0.23710858144496097,0.5,0.4698481561822126,0.24982188152314097,0.7026242558933122,0.17034207793091805,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,800.0,sub-FYbcap,34794,0.435506135225296,0.04118726592962231,0.017925424290105362,0.29671652409907756,0.25327560408850225,0.5,0.4355061217451285,0.24591690524194557,0.6693730073819674,0.15573734759831903,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,800.0,sub-PuPVlx,47375,0.4629656970500946,0.05483562304259805,0.06288303303488946,0.2879180358853177,0.24309019917789512,0.5,0.46296569920844327,0.2490517429141772,0.9144054805933735,0.07298502683978952,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,800.0,sub-QZTsn6,35177,0.4611251652240753,0.05576860556006183,0.03740818009998523,0.2952221814775103,0.25147871523734994,0.5,0.4611251670125366,0.2488218551962692,0.8671088306725717,0.09152367134781186,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,800.0,sub-VopvKx,37492,0.45777764916419983,0.06713166350139439,0.04367067125951885,0.277279631854717,0.23306876845226898,0.5,0.4577776592339699,0.24843560944519047,1.0585061325990368,0.007803258017001444,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,800.0,sub-dCsWjQ,19124,0.5104580521583557,0.06010403837025543,0.023533898312006633,0.31474773585470983,0.26810726614563196,0.5,0.5104580631667015,0.2545902219633173,1.1116231633459719,0.03661161326456008,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
